I,Q
0.91770739,-0.33940860
0.87497606,-0.29532734
0.72885614,-0.22171166
0.50066700,-0.12513380
0.21099747,-0.02097917
-0.10968495,0.10266130
-0.40427048,0.20484913
-0.69369681,0.27422661
-0.91384712,0.31830835
-1.08591209,0.32530130
-1.18219739,0.29072173
-1.19428857,0.24463457
-1.16236116,0.18956089
-1.08110360,0.13272039
-0.95947912,0.12307617
-0.85907313,0.12538670
-0.73736015,0.17482926
-0.63768777,0.25728825
-0.52869067,0.36442049
-0.39398173,0.49036304
-0.31408232,0.59762344
-0.20632015,0.70810039
-0.07893053,0.82218515
0.04852632,0.87819251
0.17885218,0.88676227
0.32978329,0.83115523
0.48628917,0.71420848
0.59695660,0.60477766
0.70276278,0.44326695
0.80995474,0.26913708
0.85475018,0.08521472
0.85437423,-0.09836278
0.81377101,-0.27426634
0.75502079,-0.41820582
0.66320728,-0.51391970
0.55085046,-0.61327616
0.38574999,-0.65458826
0.24132697,-0.73286836
0.09165069,-0.74414499
-0.09229264,-0.77263149
-0.20009881,-0.79707174
-0.34840869,-0.82209697
-0.43312154,-0.85042217
-0.50379735,-0.84982983
-0.52973991,-0.86051976
-0.52945745,-0.84934393
-0.51050143,-0.86576073
-0.40361722,-0.84185975
-0.26612284,-0.83725024
-0.10563953,-0.78792025
0.08522009,-0.77240945
0.28180142,-0.67570728
0.46756161,-0.63347697
0.62537566,-0.58324831
0.73940608,-0.47232586
0.83716105,-0.36920529
0.87792313,-0.24495301
0.84229968,-0.10590754
0.79160500,0.03654221
0.69103279,0.18820310
0.55954032,0.34028603
0.40036605,0.51106118
0.30335074,0.65372424
0.24545748,0.75855383
0.16441118,0.85241499
0.12818037,0.90515402
0.17293805,0.95006764
0.19612871,0.95636520
0.25230869,0.93314365
0.28464039,0.90395252
0.30865675,0.85884500
0.30050727,0.79940648
0.25830514,0.78065541
0.19120794,0.73200377
0.06375816,0.72131254
-0.10269800,0.68076728
-0.23991650,0.66276226
-0.39553041,0.60708469
-0.55094689,0.52696981
-0.70605129,0.41703104
-0.80040661,0.28303850
-0.88002126,0.12953339
-0.90504684,-0.06440574
-0.93776470,-0.27478823
-0.89028527,-0.46099911
-0.79764349,-0.64911036
-0.66417247,-0.78381239
-0.49158745,-0.89301064
-0.29963894,-0.90606602
-0.04202779,-0.87957744
0.21337603,-0.78492092
0.44535548,-0.65602308
0.68394147,-0.51162875
0.83317513,-0.35657170
0.95150035,-0.20385630
0.97187494,-0.13445057
0.92930898,-0.08910834
0.79882672,-0.13017965
0.62552822,-0.23576887
0.38852390,-0.36773902
0.15725948,-0.51674785
-0.06083385,-0.68104796
-0.23597466,-0.82721508
-0.32565857,-0.91641789
-0.31803192,-0.96030099
-0.26365237,-0.93663580
-0.09823091,-0.82510288
0.12706152,-0.68109370
0.37106397,-0.51247001
0.59850058,-0.32552914
0.77253610,-0.18058544
0.93005683,-0.09015841
0.94515982,-0.05692013
0.92970764,-0.08513732
0.77467612,-0.19582073
0.57422573,-0.36789752
0.31018460,-0.55391223
0.05799201,-0.74859152
-0.13481554,-0.86291304
-0.28398203,-0.95786653
-0.35213044,-0.97589516
-0.31603105,-0.94759720
-0.17085624,-0.79739156
-0.00240615,-0.62615857
0.22960167,-0.42727292
0.46704625,-0.26104837
0.68984058,-0.12367029
0.83815983,-0.04480435
0.91053775,-0.06469058
0.93989106,-0.14674098
0.88109370,-0.28428427
0.72531522,-0.45816379
0.54454357,-0.65846748
0.32279977,-0.82748989
0.12424756,-0.95543436
-0.08556162,-0.98150791
-0.25041011,-0.96427367
-0.36639200,-0.78557087
-0.43637581,-0.56259543
-0.44114734,-0.29993181
-0.40821688,0.01190805
-0.32303491,0.30709518
-0.16357421,0.57361801
0.00613583,0.77592992
0.20229244,0.90847229
0.40516894,0.95418183
0.60130107,0.90385940
0.75477444,0.79565319
0.90786873,0.59643405
1.01475822,0.36628802
1.07182847,0.17326665
1.02559203,-0.06744528
0.90726188,-0.24107533
0.70574035,-0.36660975
0.45211920,-0.44681695
0.17824448,-0.48810547
-0.14694291,-0.44461870
-0.43036073,-0.35994007
-0.67690828,-0.19823683
-0.83732676,-0.01297433
-0.94796502,0.16988573
-0.96321147,0.41102086
-0.83313903,0.62422894
-0.66815124,0.79987010
-0.43351063,0.93791236
-0.18965381,1.04140893
0.03788316,1.07018647
0.23209031,1.03685980
0.32396487,0.88314193
0.37053167,0.66410363
0.34258681,0.41018221
0.22638374,0.09517920
0.07301239,-0.19430065
-0.05934296,-0.49291332
-0.19252144,-0.72110859
-0.29963824,-0.85893686
-0.35587642,-0.89981443
-0.30009434,-0.84368100
-0.23838214,-0.72276634
-0.09099923,-0.48000319
0.04319563,-0.17148395
0.17758196,0.15882000
0.28623968,0.44035888
0.33335967,0.73547821
0.30597762,0.93232506
0.22204539,1.03244488
0.05288734,1.06172449
-0.13624300,1.00441111
-0.36580355,0.87243926
-0.58870920,0.69323915
-0.76620404,0.47428152
-0.88912056,0.27075245
-0.90575390,0.07743770
-0.86467639,-0.07177062
-0.75842244,-0.15776540
-0.54246674,-0.19083509
-0.29364326,-0.18833810
0.01825500,-0.17366643
0.28548723,-0.14365202
0.57984211,-0.09711083
0.86762912,-0.07708714
1.09088292,-0.07492045
1.23685893,-0.11990359
1.34215826,-0.16339979
1.39072717,-0.20104053
1.32712957,-0.26096149
1.22833409,-0.29420074
1.07573141,-0.28495194
0.86827843,-0.29080417
0.57964295,-0.20400359
0.28565892,-0.15129410
-0.01124241,-0.04026601
-0.29361227,0.05050772
-0.57366151,0.14564327
-0.76020169,0.21018897
-0.85483015,0.26073988
-0.91014681,0.25523046
-0.81337814,0.22203335
-0.67448405,0.18765332
-0.43154055,0.09090073
-0.15354187,-0.00444527
0.14293247,-0.09842701
0.43944250,-0.13770715
0.71500918,-0.21405763
0.93045145,-0.21341094
1.05878826,-0.23209581
1.12730137,-0.22031271
1.13198899,-0.19404384
1.06330156,-0.14428002
0.99371600,-0.16393560
0.89616201,-0.12689851
0.82457004,-0.13404846
0.73271291,-0.15224574
0.70398853,-0.18027984
0.72163609,-0.22275187
0.75760600,-0.25606999
0.79825300,-0.28725405
0.85751874,-0.31257718
0.91292579,-0.28513910
0.91951068,-0.24449170
0.90665028,-0.19134205
0.85657164,-0.07528459
0.77793127,0.03303105
0.64744602,0.15826559
0.50586969,0.29819376
0.37514474,0.43325732
0.26448890,0.58392643
0.17053611,0.71837086
0.11903859,0.82417121
0.07913299,0.90805792
0.08407077,0.98696668
0.10648400,1.04231618
0.14588315,1.06765053
0.20091751,1.05309846
0.22159232,1.01402227
0.22237800,0.97321504
0.19976676,0.85819205
0.14876178,0.74915237
0.07269079,0.62344480
-0.03908354,0.50020917
-0.19403088,0.39958768
-0.34320879,0.29187691
-0.53251565,0.19359595
-0.67925676,0.14424152
-0.83412817,0.11425100
-0.98532548,0.11121649
-1.07728740,0.17687888
-1.18049188,0.21534928
-1.20206211,0.25491119
-1.18846231,0.28198431
-1.12175885,0.30461048
-1.00379062,0.28444757
-0.83694706,0.23894513
-0.62599930,0.15631817
-0.38514651,0.04051739
-0.14697796,-0.08987832
0.11451372,-0.16575471
0.33844107,-0.27057091
0.56328585,-0.31199636
0.71669715,-0.31039179
0.85543996,-0.25279626
0.93041238,-0.11269729
0.91096857,0.05631974
0.84036312,0.26609861
0.76091036,0.47320930
0.64762759,0.65837212
0.48725805,0.80549040
0.32146868,0.89777587
0.16770278,0.89475820
0.01901689,0.83399582
-0.09490524,0.68528028
-0.18804304,0.45405712
-0.23759747,0.21621032
-0.26997461,-0.07379706
-0.25324061,-0.35136030
-0.22760689,-0.63477690
-0.17632839,-0.85993026
-0.08915851,-1.04763328
-0.03771036,-1.18041640
0.02387608,-1.24993648
0.05210638,-1.29530372
0.05101759,-1.24558482
0.02821269,-1.10894112
-0.02341857,-0.99152844
-0.13299957,-0.83011476
-0.28476091,-0.64624009
-0.42044949,-0.45551690
-0.55632237,-0.28999430
-0.72090966,-0.11344963
-0.85307342,0.02809269
-0.88819681,0.11864134
-0.91532924,0.17301626
-0.87513893,0.21325734
-0.76055901,0.15205335
-0.56811347,0.09127093
-0.35483697,0.00355232
-0.07356436,-0.08635007
0.19863336,-0.17961707
0.46479499,-0.21795931
0.70121636,-0.24105398
0.88437506,-0.22187042
1.01756873,-0.12378482
1.04218044,0.00889408
1.00242131,0.17698189
0.92269397,0.37124821
0.76274841,0.55785045
0.55912180,0.71962769
0.33236698,0.83985649
0.09275953,0.90234759
-0.11768098,0.88630309
-0.32477432,0.85934299
-0.49586998,0.74899471
-0.62389987,0.59122919
-0.69220042,0.44528481
-0.78457815,0.29650370
-0.78308461,0.17592323
-0.79461116,0.08903811
-0.74096394,0.06032123
-0.68134164,0.09407669
-0.61126436,0.16221280
-0.47780037,0.29345055
-0.35694829,0.43600567
-0.22964345,0.61784198
-0.04585713,0.74928928
0.11363981,0.91112974
0.25900809,1.00722964
0.37445494,1.07976480
0.46535042,1.08296923
0.52836670,1.07306622
0.53014211,1.02188910
0.46719577,0.95186420
0.33493998,0.85056091
0.18587141,0.77787384
-0.00587338,0.66714557
-0.23674432,0.60036787
-0.42003857,0.52170016
-0.58670689,0.48301033
-0.74900801,0.41954265
-0.83402419,0.35977431
-0.87851855,0.30433710
-0.84946019,0.21338297
-0.74657152,0.14104332
-0.60492505,0.04897047
-0.40548485,-0.03940342
-0.14810752,-0.10534579
0.10738726,-0.16247683
0.34227406,-0.23013132
0.60973450,-0.23240009
0.82524329,-0.22346882
1.01835840,-0.18086543
1.16221191,-0.12180502
1.25747062,-0.05878334
1.28143064,-0.02714635
1.26986206,0.06893519
1.17825426,0.05884130
1.05061854,0.03295544
0.86639984,-0.04474162
0.69594070,-0.17403338
0.46482683,-0.32018689
0.25587114,-0.49887483
0.04204507,-0.68071079
-0.10276030,-0.82431306
-0.18227403,-0.93469682
-0.22920986,-0.97369217
-0.22217725,-0.97851356
-0.09953875,-0.88666255
0.03219030,-0.72413722
0.23664949,-0.55208360
0.42228810,-0.35723375
0.61740610,-0.17455536
0.78715496,-0.03634015
0.87393007,0.02844837
0.91360137,0.00864609
0.88885404,-0.09770318
0.79991628,-0.24630798
0.62224244,-0.45097440
0.42493943,-0.70423148
0.24183924,-0.89563509
0.03058942,-1.00420089
-0.13030127,-1.04395594
-0.25605946,-1.01907992
-0.29327717,-0.82285681
-0.27651803,-0.55470167
-0.20399929,-0.25433717
-0.12055147,0.12338478
0.02080459,0.44446373
0.10874610,0.73161810
0.19408571,0.91188918
0.26277405,1.00397309
0.24587980,0.95425094
0.18629675,0.79490102
0.10027084,0.52750122
0.00425945,0.18516748
-0.10557862,-0.13504151
-0.21721438,-0.48660702
-0.25683413,-0.77457805
-0.24766430,-0.98549802
-0.19186752,-1.08989260
-0.05684266,-1.08841188
0.11429228,-0.99246834
0.32258549,-0.80835524
0.52486443,-0.61275125
0.69405735,-0.40492849
0.84438238,-0.19459662
0.95502745,-0.02376734
0.99206797,0.10752180
1.00405366,0.15097643
0.95916988,0.16754244
0.88943771,0.12472759
0.82357370,0.03856012
0.79333903,-0.02765453
0.74775406,-0.13693666
0.76833732,-0.21849529
0.78122465,-0.25221860
0.84822722,-0.28808651
0.94047754,-0.28559973
0.97322499,-0.27917339
1.01071797,-0.21935944
1.05132107,-0.15552566
0.98993983,-0.13625858
0.90212993,-0.07127860
0.74446923,-0.03863909
0.55481801,0.03152458
0.30726610,0.04386010
0.05735721,0.05351998
-0.19955845,0.05178407
-0.46650127,0.06364809
-0.69036597,0.08825468
-0.87921744,0.07392161
-1.03493286,0.08043443
-1.12339559,0.10048156
-1.16734225,0.10846524
-1.17528529,0.11777478
-1.13501022,0.11686536
-1.05806890,0.13908896
-0.96164808,0.13284514
-0.82664538,0.16493450
-0.68084330,0.18585073
-0.55644438,0.22663593
-0.40247962,0.28416175
-0.27026305,0.33698396
-0.13554600,0.42311924
-0.01096231,0.51972259
0.07056655,0.63924664
0.11600595,0.78860831
0.18188828,0.92259751
0.20993628,1.03996903
0.19504341,1.14737668
0.19122598,1.24032192
0.14899432,1.25299884
0.11294015,1.19001936
0.10439413,1.08951135
0.06593499,0.92234777
0.07404575,0.67566978
0.08870590,0.39173979
0.06113500,0.08892466
0.07054402,-0.20445034
0.06699656,-0.48418101
0.05352614,-0.73113722
0.00358071,-0.87300512
-0.05096980,-0.94446179
-0.15699725,-0.93137171
-0.28644422,-0.81488061
-0.42972568,-0.64897837
-0.56983453,-0.40895465
-0.71370032,-0.18008029
-0.80247249,0.00271382
-0.89073646,0.15187504
-0.89394150,0.25087769
-0.86455689,0.25125839
-0.80288268,0.14153722
-0.69745280,-0.00589526
-0.55675684,-0.21123241
-0.44358916,-0.44625798
-0.27054518,-0.65519817
-0.15128736,-0.85290711
-0.05516078,-0.98267349
0.01362482,-1.04936455
0.03269176,-1.06973605
0.01815179,-1.03048037
0.00094293,-0.92282224
-0.03795781,-0.85101439
-0.08239487,-0.74583450
-0.12212550,-0.70140114
-0.14237247,-0.71930906
-0.17770705,-0.72926404
-0.16795505,-0.81774369
-0.14855349,-0.92849943
-0.16342170,-1.04157988
-0.12629557,-1.07753254
-0.11728133,-1.10562428
-0.10227672,-1.05940354
-0.09944653,-0.95396763
-0.08552451,-0.77874846
-0.06151702,-0.52656368
-0.08507943,-0.22922380
-0.06911379,0.06202726
-0.04481232,0.35220135
0.02341052,0.59299869
0.05187455,0.80196861
0.11549069,0.90891478
0.18299603,0.96738948
0.25363873,0.91112125
0.34213522,0.80738106
0.45462011,0.67104366
0.53300931,0.45158837
0.60271469,0.24167162
0.71228130,0.04835275
0.79048575,-0.15762203
0.87200348,-0.27625612
0.98640058,-0.38659716
1.06008703,-0.45301908
1.10836058,-0.50637134
1.11085131,-0.44334774
1.09224510,-0.37867626
1.03602557,-0.24187578
0.92368496,-0.09602027
0.76761454,0.06543109
0.58297003,0.22960863
0.41752586,0.43705274
0.25348610,0.58728496
0.08656863,0.74969400
0.00889796,0.83743946
-0.02831626,0.89422937
0.01238750,0.88356345
0.11442260,0.84639027
0.25268996,0.72849596
0.43058306,0.58607328
0.63554904,0.39771134
0.82207042,0.21399065
0.93055637,0.05321384
0.97974358,-0.07303208
0.93517260,-0.16605927
0.84609968,-0.20879482
0.62892736,-0.21244311
0.35602785,-0.12518781
0.04805376,-0.05799680
-0.27165417,0.05558275
-0.56900427,0.14029443
-0.80172233,0.18055273
-0.95829617,0.20284789
-0.99447191,0.16685146
-0.99282381,0.03386624
-0.90181596,-0.11202839
-0.73146561,-0.28530831
-0.54992646,-0.50103575
-0.31987535,-0.70588342
-0.15302564,-0.85498301
0.01086096,-0.96060063
0.11790893,-1.00508271
0.16083132,-1.00737187
0.15671122,-1.00255224
0.11340729,-0.91025980
0.04323326,-0.82098605
-0.04241876,-0.76144548
-0.11725008,-0.74915030
-0.15772856,-0.72340484
-0.20910334,-0.76290978
-0.22440436,-0.84790172
-0.20610293,-0.95250406
-0.15665661,-1.04072147
-0.11865672,-1.11078636
-0.07768184,-1.14329282
-0.05156916,-1.08236598
-0.01949219,-0.97628477
-0.02408524,-0.79071605
-0.02528064,-0.53015739
-0.02576631,-0.21317511
-0.03995408,0.12439541
-0.06405909,0.41399947
-0.05306809,0.69095031
-0.01265974,0.87670327
0.06067650,0.99710651
0.10355509,0.98613295
0.22524220,0.89309248
0.32292889,0.75166610
0.45181254,0.54679562
0.57546398,0.30942336
0.68805362,0.08510674
0.78622003,-0.07947694
0.87045484,-0.21157652
0.92512274,-0.29031802
0.95506321,-0.27590378
0.99677549,-0.23688202
0.99729047,-0.16506380
0.98207715,-0.06344161
0.92661033,0.02807083
0.89882467,0.06640438
0.84005524,0.05209443
0.74956575,-0.02390090
0.67093900,-0.14341058
0.56804225,-0.31224861
0.47440030,-0.50920785
0.35192134,-0.68883082
0.18472721,-0.83916154
0.08965044,-0.92222589
-0.08307356,-0.96074169
-0.20032149,-0.94722268
-0.33414287,-0.83212560
-0.47870487,-0.67689339
-0.57614364,-0.47825047
-0.67874728,-0.27341764
-0.75070672,-0.05746110
-0.81332355,0.09109621
-0.84161750,0.20672196
-0.87465097,0.26477364
-0.88463182,0.25262518
-0.86862539,0.21934661
-0.86359803,0.15591391
-0.84930304,0.07880930
-0.85179588,-0.01685268
-0.84860283,-0.06183055
-0.84312616,-0.04676708
-0.84900446,0.00117623
-0.84908975,0.06405422
-0.86508945,0.15596892
-0.89398017,0.22314473
-0.89047948,0.29615117
-0.89308185,0.30300590
-0.89114945,0.29026472
-0.87199568,0.17422894
-0.79656621,0.05378519
-0.73682741,-0.14631000
-0.63860103,-0.38811001
-0.53087758,-0.63050892
-0.41392729,-0.80640200
-0.29426442,-0.92783704
-0.15224586,-0.99780873
-0.05921456,-0.95388601
0.07056538,-0.84074130
0.09945593,-0.62773590
0.14432412,-0.33880585
0.18394758,-0.04096148
0.19206788,0.31995804
0.15304974,0.58739913
0.11382747,0.82422108
0.02782575,0.95795630
-0.03724500,1.00355374
-0.13052793,1.00215254
-0.23914939,0.86665623
-0.32899351,0.71213038
-0.47040272,0.50997676
-0.58452910,0.29688468
-0.70217730,0.09846088
-0.83040134,-0.04447003
-0.93312724,-0.14953886
-1.03218301,-0.16858097
-1.09965456,-0.15430534
-1.14159786,-0.10263001
-1.13834855,-0.02692991
-1.10530849,0.08519296
-1.01014567,0.12253313
-0.86673250,0.16340498
-0.68810249,0.18691679
-0.47709144,0.15508841
-0.23645313,0.10851942
0.00965670,0.02593658
0.27047237,-0.06095137
0.49799209,-0.12400521
0.69746928,-0.16592945
0.86813197,-0.15754596
0.98982568,-0.14827020
1.09008789,-0.09961544
1.11413795,-0.01474202
1.09687347,0.03472821
1.07167190,0.12138784
0.99021883,0.15937188
0.89660661,0.13407414
0.82827671,0.05695191
0.71573948,-0.06539534
0.61667717,-0.22816662
0.52128901,-0.41644878
0.43235680,-0.61939325
0.31907777,-0.79737464
0.19990937,-0.94199502
0.10276676,-0.97022781
-0.03361668,-0.96248025
-0.14333543,-0.88157252
-0.30134363,-0.73935265
-0.46372065,-0.52766359
-0.57186630,-0.32599328
-0.67587960,-0.11994112
-0.77664659,0.04580544
-0.84041778,0.15613901
-0.89596865,0.17001129
-0.86616542,0.13773299
-0.82931466,0.00275832
-0.72971973,-0.17469357
-0.62405014,-0.36785998
-0.47524938,-0.59788321
-0.32095757,-0.76389351
-0.14821479,-0.90535735
0.00404669,-0.98826821
0.13678204,-0.94756097
0.24476722,-0.87509270
0.36276454,-0.73179170
0.45162613,-0.54459479
0.55091739,-0.34525716
0.63229065,-0.17621204
0.70924055,-0.02474156
0.77433129,0.06962960
0.83731863,0.10249591
0.93075411,0.07597815
1.03757095,0.03787589
1.07577206,-0.02971993
1.09963629,-0.11757413
1.11235524,-0.19217474
1.05236283,-0.18799578
0.93482946,-0.16661656
0.78600921,-0.09401289
0.61134146,0.08073361
0.42424457,0.24138073
0.25305852,0.46507862
0.08366442,0.64774722
-0.02371136,0.79232658
-0.06719328,0.90737702
-0.07024358,0.97214431
0.04080468,0.93610172
0.18175859,0.83976783
0.35146168,0.72483270
0.56151242,0.52073299
0.76312576,0.33505314
0.92380566,0.13681779
0.99418315,-0.02779353
0.97922946,-0.13155069
0.88729040,-0.19915988
0.65963764,-0.21992210
0.40500247,-0.21925655
0.09541318,-0.14865618
-0.24229840,-0.09504068
-0.54353768,-0.00687193
-0.82072584,0.06337554
-0.98128553,0.10352950
-1.11241893,0.12866103
-1.11151172,0.16181516
-1.08889508,0.14329794
-0.98715150,0.10998927
-0.88621186,0.08993112
-0.78194731,0.04305468
-0.71576622,0.00939453
-0.68593836,-0.00817988
-0.71493994,-0.00266760
-0.80844773,0.01338008
-0.91607946,0.03431232
-1.04106852,0.03866949
-1.10805214,0.06735396
-1.17487369,0.06472508
-1.12510097,0.06289136
-1.02196830,0.05275199
-0.80421976,0.04750225
-0.53246742,0.02056100
-0.18492157,0.03082962
0.17698703,-0.00723853
0.52325211,-0.03169727
0.78077023,-0.02699111
0.96992735,-0.06372264
1.02270257,-0.05127523
0.97195709,-0.02410801
0.78021784,-0.03251216
0.53677006,0.00901567
0.17888987,0.00828347
-0.17634230,0.02770366
-0.51794070,0.03928605
-0.77048867,0.03381918
-0.99715815,0.03345162
-1.13627800,0.03930482
-1.15937283,0.03103684
-1.13023138,0.04004691
-1.03091695,0.04050145
-0.95483284,0.05763368
-0.83369551,0.04716918
-0.75389234,0.06531615
-0.73206692,0.02013902
-0.71167850,0.02737802
-0.77829214,0.03523338
-0.85104648,0.05186350
-0.92662544,0.03303835
-1.03065828,0.01612029
-1.07030262,0.02507164
-1.04730597,0.01290112
-0.95085486,0.00918673
-0.80902741,0.04233813
-0.59249861,0.01868123
-0.31136982,0.02343206
-0.02774127,0.01880725
0.24076949,0.01266746
0.52050645,-0.00120693
0.77793276,-0.00760165
0.94123030,-0.01838374
1.04230165,-0.02511461
1.09613809,-0.04664139
1.09143774,-0.08205559
1.05119859,-0.06831877
0.95863065,-0.07451709
0.88546321,-0.07830335
0.82722517,-0.05484463
0.77501428,-0.02641337
0.76068807,-0.00335961
0.74983706,0.02681270
0.79648803,0.03519009
0.84906082,0.07756151
0.89057380,0.04047211
0.92386605,0.05291284
0.93534692,0.02119247
0.90939857,-0.02612074
0.86221488,-0.10618171
0.78029536,-0.17026990
0.63812821,-0.28003849
0.47823216,-0.39880550
0.31866272,-0.51292056
0.16460990,-0.61815664
0.01400566,-0.74998897
-0.09460920,-0.81991507
-0.17718652,-0.91891202
-0.21481957,-0.98372453
-0.21276361,-1.03357897
-0.18776561,-1.07545541
-0.15360407,-1.07169977
-0.08536756,-1.05023587
-0.00398423,-0.95895417
0.06565207,-0.84351331
0.12327240,-0.75621605
0.19080613,-0.62471290
0.24835169,-0.49875268
0.30809994,-0.36398517
0.38515602,-0.24044439
0.49258382,-0.17076937
0.59855412,-0.09074657
0.75980523,-0.00280441
0.89007195,0.02784569
1.04436230,0.03848869
1.19089377,0.06492521
1.29992149,0.03132496
1.34930138,0.04557821
1.33612077,0.02402082
1.18890767,0.01823857
1.00055596,-0.02438538
0.70859855,-0.01573315
0.34425236,-0.01825860
-0.00604286,-0.03839111
-0.36388147,-0.03594122
-0.69729077,-0.04375496
-0.91425212,-0.06730150
-1.04292556,-0.04293860
-1.02164242,-0.04214290
-0.85663655,-0.00404440
-0.61824018,0.03738045
-0.29390748,0.06128265
